Item Name,Variations,Quantity
"Linked Hoop - Brass Glasses Chain","",2
"Lyric - Pearl Earrings","",4
"Midnight Wander - Beaded Necklace","",4
"Millefleurs - Beaded Necklace","Color:Orange",4
"Millefleurs - Beaded Necklace","Color:Purple",4
"Narrow Identity - Sterling Silver Ring","",9
"Ocean Pearl - Pearl Earrings","",10
"One Size Zircon Silver Ring","",1
"Pearl Daisy - Pearl Necklace","",4
"Pearl Lasso - Glasses Chain","",4
"Perfect Twist - Brass Earrings","",14
"Pivot - Silver Ring","",4
"Quinton - Pearl Earrings","",3
"Sample Sale - Sunmertime","Style:Daisy Pearl Choker",2
"Sample Sale - Sunmertime","Style:Daisy Glass Chain",9
"Sample Sale - Sunmertime","Style:30mm Hoops",6
"Secret Garden - Fabric Glasses Chain","Primary color:Style A: Pink",5
"Secret Garden - Fabric Glasses Chain","Primary color:Style B: Blue",7
"Secret Garden - Fabric Glasses Chain","Primary color:Style C: Navy",9
"Set of 2 - Pearl Hair Pin","Style:Style A: 1&3 Pearls",0
"Set of 2 - Pearl Hair Pin","Style:Style B: 1&4 Pearls",0
"Shade of Sea - Beaded Necklace","",5
"She is Bold - Pearl Necklace","",0
"Silver Cheese Earrings","",2
"Silver Grande - Sterling Silver Ring","",3
"Silver Rain - Brass Glasses Chain","",2
"Sky Holiday - Brass Earrings","",3
"Sparkle Night - Beaded Glasses Chain","",6
"Sparkle Pearl - Pearl Earrings","",5
"Spring Visitors - Glasses Clothes","",21
"Star Light - Beaded Glasses Chain","Primary color:Pink & Blue",6
"Stratus - Beaded Glasses Chain","",10
"Strawberry - Brass Glasses Chain","",1
"Streaming Pearl - Pearl Glasses Chain","",7
"Subtle Grace - Pearl Earrings","",8
"Suburbs - Brass Earrings","",5
"Summer Pearls - Pearl Necklace","",0
"Sunny Days - Glasses Clothes","",8
"Sweet Talker - Pearl Earrings","",5
"The Avacado - Coin Purse","",2
"The Coin - Brass Glasses Chain","",6
"The Dandelion - Coin Purse","",1
"The Rhinestone - Brass Glasse Chain","",7
"Trace - Pearl Earrings","",3
"Tulle Hair Scrunchie","Primary color:White",3
"Tulle Hair Scrunchie","Primary color:Champagne",3
"Tulle Hair Scrunchie","Primary color:White&Champagne Set",2
"Une Fille - Pearl Earrings","",7
"Une Style - Acetate Hair Barrette","Primary color:Pearl White",3
"Une Style - Acetate Hair Barrette","Primary color:Tortoise",2
"White Beaded Rainbow Glasses Chain","",22
"Wire Trio - Brass Earrings","",3
"Zircon Flower and Pearl Earring","",6
